STT,ID,Module,Feature/Screen,Description/Assumptions,"Fields/Components, Component Type, Required?",User Flow
206,7.2.2,,View Ad-hoc Request List,"- Technician tracks status of their submitted ad-hoc requests.
- Statuses visible: Technician Request / Ad-hoc Declined / Pending / Approval Rejected.
- CONFIRMED: Technician Request status = ad-hoc WO created by MSP Technician, requires MSP Supervisor confirmation BEFORE it can be submitted to BM for approval. Flow: Tech creates => Technician Request => Supervisor approves/declines => if approved: Pending (BM approval queue).","Screen: My Requests (Mobile)
- Request list: ID / Type badge / Description (truncated) / Status / Created Date
- Tap request => Request Detail
- If Ad-hoc Declined => [Edit & Resubmit] shown
- Pull-to-refresh
- Empty state: No requests submitted.","Screen: Ad-hoc Request List (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated.

1. Technician navigates to Requests tab or section.
2. System loads all ad-hoc requests submitted by this Technician:
   + Items: Request ID / Building / Asset / Status badge / Created date.
   + Statuses shown: Technician Request / Ad-hoc Declined / Pending / Approval Rejected / Assigned / Cancelled.
   + Sorted by created date descending.
3. Technician applies Status filter to narrow list.
4. Technician taps a request item:
   4a. Status = Technician Request / Pending / Approval Rejected / Cancelled => read-only detail view with history log.
   4b. Status = Ad-hoc Declined:
    + Detail screen shows rejection reason from Supervisor prominently at top.
    + [Edit & Resubmit] button visible.
    + Technician taps [Edit & Resubmit] => Edit form opens pre-filled with all previous data.
    + Technician modifies as needed and taps [Resubmit]:
     - Same validation as Create (7.2.1).
     - Network unavailable => error toast.
     - Valid => Status => Technician Request (resets to pending Supervisor review).
     - Supervisor notified: ""Technician [Name] has resubmitted an ad-hoc request.""
     - Success toast: ""Request resubmitted to Supervisor.""
5. Technician pulls down => refreshes list.
6. Empty state: ""No ad-hoc requests submitted yet.""

Edge cases:
- Technician tries to resubmit a request that was already approved (status changed while editing) => stale status error: ""This request has already been processed. Please refresh.""
- Network unavailable => cached list with banner.
"
207,7.2.3,,View Assigned Work Order List,"- View all WOs assigned to this Technician (as Main or Sub Technician).
- Sorted by Due Date - overdue first.
- Filter by Status.

WO Status reference (per product document):
Group: Preparation => Draft
Group: New => Technician Request / Tenant Request / Service Request Accepted / Pending
Group: Pending => Unassigned (WO approved, ready for Technician assignment)
Group: In Progress => Assigned / Started
Group: Review => Completed (Supervisor reviews and signs off before forwarding to BM)
Group: Approval => Verified (BM reviews, signs, and approves to close)
Group: Finalized => Closed / Cancelled
Group: Rejection => Ad-hoc Declined / Approval Rejected / Completion Rejected / Verification Rejected","Screen: Work Order List (Technician Mobile)
- Filter: Status - All / Assigned / Started / Completed / Completion Rejected
- WO List: ID / Type badge / Asset Code / Location / Due Date (overdue indicator) / Status
- Pull-to-refresh
- Empty state: No work orders assigned to you.","Screen: Assigned Work Order List (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated.
- Shows WOs where this Technician is Main Technician OR Sub Technician.

1. Technician navigates to Work Orders tab in bottom navigation.
2. System loads all WOs assigned to this Technician (as Main or Sub):
   + Items: WO ID / Type badge / Asset Code / Building / Location / Due Date / Status badge.
   + Sorted by: Completion Rejected first (requires urgent action), then overdue by due date, then upcoming by due date.
   + Overdue WOs: red Due Date + overdue badge.
   + Completion Rejected WOs: red border or highlight to draw attention.
3. Technician taps Status filter => filter panel:
   + All / Assigned / Started / Completed / Completion Rejected / Closed / Cancelled.
4. Technician taps search bar => searches by WO ID or asset code.
5. Technician taps a WO => WO Detail & Execution (7.2.4).
6. Technician pulls down => refreshes.
7. Infinite scroll => loads next page.
8. Empty state: ""No work orders assigned to you.""

Edge cases:
- Technician is Sub Technician on a WO => WO appears in list with ""Sub Technician"" label.
- Network unavailable => cached list with banner.
- WO Due Date is today (not yet overdue) => shown in amber warning color.
"
208,7.2.4,,View Work Order Detail,"- Full WO detail page.
- Shows: Overview / 5-stage progress bar / Details tab / Execution tab.
- Action button depends on status: [Start] / [Submit & Sign Off] / [Review & Resubmit].
- Print Report button.","Screen: Work Order Detail (Technician Mobile)

Header:
- Asset Code - Work Type label
- WO ID / date / Type badge
- Print Report - Button - Secondary
- 5-stage progress bar: New => Pending => In Progress => Review => Approval
- Stage context label

Action button (status-dependent):
- Assigned: [Start Work Order] - Primary
- Started: [Submit & Sign Off] - Primary
- Completion Rejected: [Review & Resubmit] - Primary

Tabs: Details | Execution

Tab: Details
- Description / Photos / Remark (read-only)

Tab: Execution (left)
- Main Technician card + Sub Technician cards (read-only)
- Work Checklist (N/total): expandable items
- Part Replacement table: Source / Name / Code / Quantity

Tab: Execution (right)
- Maintenance Plan: Round / ID / Name / Frequency / View Details (Maintenance WOs)
- Parent WO (if applicable)
- Tenant: Name / Phone / Email
- History log

Completion Rejected section:
- Rejected by / Time / Reason (read-only)","Screen: Work Order Detail & Execution (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated.
- WO must be assigned to this Technician (Main or Sub).
- Status: Assigned, Started, Completed, or Completion Rejected.

1. Technician taps WO from list => WO Detail screen loads.
2. System renders:
   + Header: Asset Code • Work Type / WO ID / Type badge.
   + 5-stage progress bar: New => Pending => In Progress => Review => Approval. Active stage highlighted.
   + Overview (scrollable): Start Time / End Time (overdue badge if past due) / Time Required / Building / Floor / Area / Asset Code / Asset Type / System.

3. Swipeable tabs:
   Tab: Details (read-only): Description / Photos (tap => full-screen) / Remark.
   Tab: Execution (primary working tab):
   + Work Checklist section: progress indicator (N/total items done).
     Each item expandable: Item name / Description input (Required/Optional/Off) / Photos upload (Required/Optional/Off).
   + Part Replacement table: Source / Name / Code / Quantity. [+ Add Part] button.
   + Maintenance Plan reference (for Maintenance WOs): Round / Plan Name / Frequency.
   + Tenant contact (for Service Request WOs): Name / Phone / Email.
   + History log: last 5 entries. [Show all] expands full timeline.

4. Completion Rejected banner (when status = Completion Rejected):
   + Red banner at top: ""Rejected by Supervisor [Name] on [date]. Reason: [reason].""

5. Action buttons — FIXED at bottom of screen:
   + Status = Assigned: [Start Work Order] (Primary, full-width).
   + Status = Started: [Submit & Sign Off] (Primary, full-width). Disabled until all Required items completed.
   + Status = Completion Rejected: [Review & Resubmit] (Primary, full-width).
   + Status = Completed: no action buttons (awaiting Supervisor review — read-only).

6. [Submit & Sign Off] disabled state:
   + Grayed out with label: ""Complete all required checklist items to submit.""
   + Tapping grayed button shows tooltip: ""N required checklist items are incomplete.""

Edge cases:
- Technician is Sub Technician => can view WO and checklist but [Start] and [Submit & Sign Off] only available to Main Technician (flagged for BA confirmation — pending).
- WO Detail fails to load => ""Failed to load work order details. Please go back and try again.""
- Offline => WO Detail shown from cache; all action buttons disabled with offline banner.
"
209,7.2.5,,Start Work Order Execution,"- Technician starts a WO assigned to them.
- Triggered by [Start Work Order] button on WO Detail.
- Status: Assigned => Started.
- Part Replacement recording is done separately during execution in 7.2.8 after WO is Started.","Button: [Start Work Order] - Primary - on WO Detail (status = Assigned)

Popup: Confirm Start
- Message: Start this work order?
- Confirm + Cancel","Flow: Start Work Order Execution (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated.
- WO must be in Assigned status.
- Technician must be the Main Technician on this WO.

1. Technician opens WO Detail (7.2.4) for an Assigned WO.
2. [Start Work Order] button shown at bottom (full-width, Primary).
3. Technician taps [Start Work Order].
4. Native alert:
   + ""Start Work Order [ID]? This will mark the work as in progress.""
   + [Start] | [Cancel].
5. Technician taps [Start]:
   5.1. Network unavailable => error toast: ""No internet connection. Please try again.""
   5.2. WO status changed concurrently (e.g., Supervisor reassigned or cancelled) => error toast: ""Work order status has changed. Please refresh.""
   5.3. All valid:
    + WO status => Started.
    + Start Time recorded automatically with current timestamp.
    + MSP Supervisor notified (FCM push): ""Technician [Name] has started Work Order [ID].""
    + History log: ""Started by [Technician Name] at [timestamp].""
    + [Start Work Order] button replaced by [Submit & Sign Off] (disabled until checklist complete).
    + Execution tab becomes fully interactive.
    + Success toast: ""Work order started.""
6. Technician taps [Cancel] => alert dismisses, no change. WO remains Assigned.

Edge cases:
- Technician accidentally taps Start => no undo. WO is in Started status. Technician must complete or wait for Supervisor action.
- Network times out during Start => timeout error after 15 seconds; WO status NOT changed; Technician can retry.
"
210,7.2.6,,Complete Work Checklist Items,"- Technician ticks off checklist items during WO execution (status: Started).
- Each item has: Description input (Required/Optional/Off per item setting) + Photos upload (Required/Optional/Off).
- PENDING: Checklist preserved or reset after Completion Rejected (flagged for BA review).","Embedded in WO Detail Execution tab:

Work Checklist section:
- Checklist counter: N/total items completed
- Each item - Expandable card:
  + Item name + completion tick (tap to toggle done/undone)
  + Description - Text input - Required/Optional per item setting
  + Photos - Multi-upload - Required/Optional per item setting - Camera or gallery","Flow: Complete Work Checklist Items (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated.
- WO must be in Started status.
- Technician is the Main Technician.

This flow is embedded within WO Detail Execution tab.

1. Technician navigates to WO Detail (7.2.4) => swipes to Execution tab.
2. Checklist section shows progress indicator (e.g., ""2 of 5 items done"") and list of checklist items.

3. Technician taps a checklist item card => card expands showing:
   + Item name (read-only, inherited from Asset Type definition).
   + Description field (if setting = Required or Optional):
    - Text area with placeholder: ""Enter description...""
    - If Required: red asterisk shown. Must be filled before submission.
    - If Optional: no asterisk. Can be left empty.
    - If Off: field not shown.
   + Photos section (if setting = Required or Optional):
    - Thumbnail grid for uploaded photos.
    - [+ Add Photo] button => camera or gallery picker.
    - If Required: red asterisk. At least 1 photo required.
    - If Optional: can have 0 photos.
    - If Off: section not shown.
   + [Done] or checkmark button to mark item as complete.

4. Technician fills Description (if applicable) and uploads Photos (if applicable).

5. Technician taps [Done] on an item:
   5.1. If Description = Required AND field empty => item marked INCOMPLETE, warning indicator shown: ""Description required.""
   5.2. If Photos = Required AND no photos uploaded => item marked INCOMPLETE: ""At least 1 photo required.""
   5.3. All required fields for this item filled => item marked COMPLETE (checkmark + green indicator).
   5.4. Progress counter updates: ""3 of 5 items done.""

6. Technician taps a completed item => can re-open to edit Description or add/remove Photos while WO is in Started status.

7. Real-time save: all Description text and photo uploads are auto-saved to local draft on every change (no manual save needed).

Edge cases:
- Technician loses connection mid-fill => data typed is preserved in local draft. On reconnect, draft synced with server.
- Photo upload fails (network error) => error per photo: ""Photo upload failed. Please retry."" Other photos unaffected.
- Photo exceeds size limit => error: ""Photo is too large. Maximum size is 5 MB per photo.""
- Technician tries to mark [Done] on an Optional item with no Description and no Photos => item can be marked Done if both settings are Optional or Off.
- Device storage full => photo capture fails => error: ""Not enough storage space to save photo. Please free up space and try again.""
"
211,7.2.7,,Upload Execution Photos,"- Technician uploads evidence photos during WO execution.
- Photos tied to specific checklist items (per Required/Optional/Off setting).
- Supports camera capture or gallery upload.","Embedded in checklist item card:
- Photos - Multi-upload - Camera or gallery
  + Required/Optional label per item
  + Thumbnail grid after upload
  + Delete per photo (tap X on thumbnail)
  + Max file size: 5 MB per photo
  + Accepted: JPG/PNG","Flow: Upload Execution Photos (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated. WO in Started status. Main Technician.

This flow is embedded within each checklist item in the Execution tab.

1. Technician expands a checklist item card.
2. In the Photos section, Technician taps [+ Add Photo].
3. Bottom sheet slides up with options:
   + [Take Photo] (camera icon) — opens device camera.
   + [Choose from Library] (gallery icon) — opens photo gallery.
   + [Cancel] — dismisses sheet.

--- Camera path ---
4a. Technician taps [Take Photo]:
   4a.1. Camera permission not granted => OS permission dialog appears. If denied => error: ""Camera permission required. Please enable in device Settings => App => Camera.""
   4a.2. Camera opens. Technician frames the evidence and taps capture.
   4a.3. Preview screen shows the captured photo.
   4a.4. Technician taps [Use Photo] => photo added to checklist item's photo grid. Thumbnail appears.
   4a.5. Technician taps [Retake] => camera reopens.

--- Gallery path ---
4b. Technician taps [Choose from Library]:
   4b.1. Photo library permission not granted (iOS) => OS permission dialog. If denied => error: ""Photo library permission required. Please enable in Settings.""
   4b.2. Photo library opens. Technician selects a photo.
   4b.3. Selected photo added to checklist item's photo grid. Thumbnail appears.

--- After photo added ---
5. Photo uploaded to server in background (while Technician continues with other checklist items):
   5.1. Upload in progress => small spinner shown on thumbnail.
   5.2. Upload succeeds => spinner replaced by checkmark (or simply disappears).
   5.3. Upload fails => error indicator on thumbnail: [Retry] tap to retry upload.

6. Technician taps [X] on a photo thumbnail => removes photo from the item.
   + Confirmation: ""Remove this photo?"" => [Remove] | [Keep].
   + Confirmed => photo removed from item and deleted from server.

7. Maximum photos per item: no defined limit in spec (flagged for BA review — recommend 10 per item).

Edge cases:
- Photo file > 5MB => error: ""Photo is too large. Maximum 5 MB per photo.""
- Photo taken in offline state => stored locally. Uploaded automatically on reconnect.
- Device camera malfunctions => OS error returned; app shows: ""Unable to access camera. Please try again.""
"
212,7.2.8,,Record Part Replacement,"- Technician records spare parts used during WO execution.
- 2 sources:
  + Use Existing IMS Stock: select from inventory => On-Hold set => stock-out on BM approval.
  + Purchase Separately: free-text record only, no inventory impact.
- Accessible while WO is in Started status.","Embedded in WO Detail Execution tab:

Part Replacement section:
- [+ Add Part] - Button - opens source selection
- Source selection:
  + Use Existing IMS Stock => searchable dropdown (Part Name / Code / Available Stock) + Quantity (Min: 1)
  + Purchase Separately => Part Name text field + Quantity
- Part Replacement table: Source / Name / Code / Quantity / Delete icon
- Delete icon => removes entry","Flow: Record Part Replacement (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated. WO in Started status. Main Technician.

This flow is embedded in the Execution tab, Part Replacement section.

1. Technician scrolls to Part Replacement section in Execution tab.
2. Current entries shown in a list (Source / Part Name / Code / Quantity).
3. Technician taps [+ Add Part].
4. Bottom sheet slides up: ""Add Part Replacement""
   + Source toggle: [IMS Stock] | [Purchase Separately].

--- IMS Stock path ---
5a. Technician selects [IMS Stock]:
   + Spare Part: searchable dropdown (parts scoped to User Group, Active only). Shows: Name / Code / Available Stock.
   + Quantity: numeric keyboard input, min 1.
   + Taps [Add]:
    5a.1. Spare Part not selected => error: ""Please select a spare part.""
    5a.2. Quantity < 1 => error: ""Please enter a valid quantity.""
    5a.3. Quantity > Available stock => warning (not blocked): ""Requested quantity exceeds available stock. Continue?"" => Technician confirms => proceeds.
    5a.4. Valid => entry added to Part Replacement table. Source = IMS Stock / Part Name / Code shown.
    5a.5. Note: Stock-Out and On-Hold are handled by BM approval workflow (7.2.9). This step is recording only.

--- Purchase Separately path ---
5b. Technician selects [Purchase Separately]:
   + Part Name: text field (required, max 100 chars). No dropdown (no system code available).
   + Quantity: numeric input, min 1.
   + Taps [Add]:
    5b.1. Part Name empty => error: ""Part name is required.""
    5b.2. Quantity < 1 => error: ""Please enter a valid quantity.""
    5b.3. Valid => entry added to table. Source = Purchase Separately / Name shown (no Code column).

6. Technician taps Delete icon on an entry:
   + Native confirm: ""Remove this part entry?""
   + Confirmed => entry removed from table.
   + For IMS Stock entries: if an On-Hold reservation was already created for this entry, system releases the On-Hold automatically.

7. Technician can add multiple entries (both IMS Stock and Purchase Separately, mixed).

Edge cases:
- Spare Part list fails to load => error in dropdown: ""Failed to load spare parts. Please try again.""
- Technician removes an IMS Stock entry after BM already approved it (stock-out done) => system should flag this conflict. Flagged for BA review.
- Network unavailable when adding => entry saved locally; synced on reconnect.
"
213,7.2.9,,Create Spare Parts Request,"- Technician requests spare parts during WO execution (status: Started).
- Goes to BM for approval.
- On approval => On-Hold set => stock-out triggered.
- Different from Part Replacement recording (7.2.8) which records actual used parts.","Embedded in WO Detail:
- [Request Spare Parts] - Button - available when status = Started
- Spare Part - Dropdown - Required - Searchable - Available parts in Technician's scope
  + Shows: Part Name / Code / Available Stock
- Quantity - Number - Required - Min: 1
- Notes - Textarea - Optional
- [+ Add another part] + Submit Request - Primary","Flow: Create Spare Parts Request (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated. WO in Started status. Main Technician.
- Note: This is different from Part Replacement recording (7.2.8). This is a formal request to BM for stock-out approval.

1. Technician opens WO Detail => Execution tab => taps [Request Spare Parts].
2. Bottom sheet slides up: ""Request Spare Parts""
   + Multiple part entries supported via [+ Add another part].
   + Per entry:
    - Spare Part: searchable dropdown (User Group scope, Active only). Shows: Name / Code / Available Stock.
    - Quantity: numeric input, min 1.
   + Notes: optional textarea.

3. Technician taps [Submit Request]:
   3.1. Spare Part not selected => error: ""Please select a spare part.""
   3.2. Quantity < 1 => error: ""Please enter a valid quantity.""
   3.3. Duplicate part entries => warning: ""Duplicate part detected. Please combine into one entry.""
   3.4. Requested qty > Available stock => warning (not blocked): ""Requested quantity exceeds available stock. This request will be flagged as Unavailable."" => Technician confirms.
   3.5. Network unavailable => error toast: ""No internet connection.""
   3.6. All valid:
    + For each part: If stock sufficient => On-Hold set immediately. If insufficient => flagged Unavailable.
    + BM notified (FCM push + email): ""Spare part request for Work Order [ID] from Technician [Name] requires your approval.""
    + Supervisor notified (FCM push): ""Technician [Name] submitted a spare part request for Work Order [ID].""
    + History log updated.
    + Success toast: ""Spare parts request submitted for Building Manager approval.""
    + Bottom sheet closes.

4. Taps [Cancel] or drags sheet down => dismisses, no request created.

Edge cases:
- Technician submits request and BM declines => On-Hold released. Technician notified. Technician must decide whether to use Purchase Separately recording instead.
- Spare Part dropdown empty => ""No spare parts available for your scope.""
- Network times out => no request created; Technician can retry.
"
214,7.2.10,,Technician Sign-off,"- CONFIRMED from WO Execution diagram: 3-step sign-off after checklist completion.
- Step 1: MSP Technician A (this Technician) - always required.
- Step 2: Building Technician (another MSP Tech) - always required.
- Step 3: Tenant sign-off - configurable per plan (on/off).
- Sign-off METHOD: PENDING confirmation (flagged for BA review).
- After all sign-offs => Set Completed => status: Completed.","Embedded in WO Execution (triggered after [Submit & Sign Off]):

Step 1 - Technician self sign-off:
- System auto-records this Technician's sign-off + timestamp
- Proceeds to Step 2 automatically

Step 2 - Building Technician sign-off:
- Prompt: Present device to Building Technician
- Sign-off input - Method TBC (signature capture / confirm button)
- [Confirm Sign-off] - Primary

Step 3 - Tenant sign-off (if configured):
- Prompt: Present device to Tenant
- Sign-off input - Method TBC
- [Confirm Sign-off] - Primary
- Skip if Tenant sign-off not configured

After all sign-offs:
- System sets status: Completed
- Supervisor notified: Work Order [ID] completed - ready for your review","Flow: Technician Sign-off & Submit Work Order (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated. WO in Started status. Main Technician.
- All required checklist items must be completed before submission is allowed.
- All required Description fields filled and all required Photos uploaded.

This is triggered by tapping [Submit & Sign Off] on WO Detail (button is disabled until all Required items are complete).

1. Technician ensures all checklist items are done. Progress indicator shows ""5 of 5 items done.""
2. [Submit & Sign Off] button becomes enabled (no longer grayed out).
3. Technician taps [Submit & Sign Off].

4. System validates ALL required fields (final validation before sign-off process begins):
   4.1. Any Required Description field empty on any checklist item => inline validation:
    + Checklist section scrolls to first incomplete item.
    + Red highlight on incomplete item.
    + Error toast: ""Please complete all required checklist items before submitting.""
    + [Submit & Sign Off] remains disabled.
   4.2. Any Required Photos section with 0 photos on any checklist item:
    + Same behavior: scroll to first incomplete item, highlight, error toast.
   4.3. All required fields complete => proceeds to Sign-off sequence.

5. Sign-off sequence begins (3 steps in order):

   STEP 1: MSP Technician A (this Technician) — ALWAYS REQUIRED
   + Signature screen or confirmation screen shown:
    - Title: ""Your Sign-off""
    - Message: ""Sign off as MSP Technician A to confirm work completion.""
    - Sign-off method: ASSUMED = Button confirmation (tap [Sign Off] on device). Each party physically holds the device and taps to confirm. No signature capture or OTP in MVP.
   + System records: Technician name + timestamp.
   + Proceeds to Step 2.

   STEP 2: Building Technician — ALWAYS REQUIRED
   + Title: ""Building Technician Sign-off""
   + Message: ""Have the Building Technician sign off to witness completion.""
   + Another MSP Technician (not this Technician) must confirm.
   + Sign-off method: ASSUMED = Button confirmation. Building Technician holds the device and taps [Confirm] to witness completion.
   + System records: Building Technician name/ID + timestamp.
   + If Building Technician is not available: Supervisor may override (pending BA confirmation — flagged).
   + Proceeds to Step 3.

   STEP 3: Tenant — CONDITIONAL (based on Maintenance Plan configuration)
   + If plan has ""Tenant sign-off required = Yes"":
    - Title: ""Tenant Sign-off""
    - Message: ""Have the Tenant confirm work completion.""
    - Sign-off method: ASSUMED = Button confirmation. Tenant holds the device and taps [Confirm] to acknowledge work completion.
    - System records: Tenant name/ID + timestamp.
   + If plan has ""Tenant sign-off required = No"" (or WO is Ad-hoc, not from plan):
    - Step 3 is skipped automatically.

6. After all required sign-offs collected:
   + WO status => Completed.
   + MSP Supervisor notified (FCM push + email): ""Technician [Name] has completed Work Order [ID] and submitted for your review.""
   + History log: ""Completed and signed off by [Technician Name] at [timestamp]. Sign-offs: [list].""
   + Success toast: ""Work order submitted for Supervisor review.""
   + Action buttons removed. WO Detail shows Completed status.

Edge cases:
- Building Technician not available on-site => pending client confirmation on how to handle. Flagged for BA review.
- Any step's sign-off fails (network error) => error toast: ""Failed to record sign-off. Please try again."" => sign-off progress preserved (already completed steps not lost).
- Technician accidentaly taps wrong button on sign-off screen => no undo after each individual sign-off step is confirmed (pending BA confirmation).
- Sign-off method ASSUMED = Button confirmation for all 3 parties. No signature drawing or OTP required in MVP. Each party physically taps [Sign Off] / [Confirm] on the Technician's device.
"
215,7.2.11,,Resubmit Work Order (after Completion Rejected),"- WO returned with status: Completion Rejected.
- Technician reviews rejection reason => corrects checklist/photos/parts => resubmits.
- PENDING: whether checklist is preserved or reset after rejection.
- Note: Resubmit is not a destructive action. No confirmation popup required - [Review & Resubmit] proceeds directly after validation.","Screen: WO Detail (status = Completion Rejected)
- Rejection details section (read-only):
  + Rejected by / Rejected time / Rejection Reason
- [Review & Resubmit] - Button - Primary
- Checklist items available for correction (7.2.6)
- Photos can be updated (7.2.7)
- Part Replacement can be updated (7.2.8)","Flow: Resubmit Work Order after Completion Rejected (MSP Technician Mobile)

Preconditions:
- MSP Technician authenticated.
- WO must be in Completion Rejected status.
- Technician must be the Main Technician.

1. Technician opens WO Detail (7.2.4). Red banner at top shows:
   + ""Rejected by Supervisor [Name] on [date]. Reason: [reason].""
2. Technician reads the rejection reason carefully.

3. Technician reviews execution content and makes corrections:

   If checklist items need correction:
   3a. Technician swipes to Execution tab.
   3b. Taps on the relevant checklist item(s) to expand.
   3c. Updates Description text and/or replaces/adds Photos.
   3d. Checklist progress indicator shows current completion status.

   If part replacement entries need correction:
   3e. Technician removes incorrect entries and/or adds new entries.

   Note: Whether checklist progress is PRESERVED (Technician corrects specific items) or RESET after rejection is PENDING client confirmation. Current assumption: preserved. Flagged for BA review.

4. Technician taps [Review & Resubmit] at bottom of screen (Primary, full-width).

5. System runs the same final validation as Submit & Sign Off (7.2.10 step 4):
   5.1. Any Required Description empty => error toast: ""Please complete all required checklist items."" Scrolls to first incomplete item.
   5.2. Any Required Photos missing => same error.
   5.3. All valid => proceeds to sign-off sequence.

6. Sign-off sequence restarts from Step 1 (same 3-step process as 7.2.10 step 5):
   + All previous sign-offs are cleared. A fresh sign-off is required.
   + Reason: work has been modified; all parties must re-confirm the corrected version.

7. After all sign-offs collected:
   + WO status => Completed (re-submitted).
   + MSP Supervisor notified: ""Technician [Name] has resubmitted Work Order [ID] after rejection.""
   + History log: ""Resubmitted by [Technician Name] at [timestamp]. (After rejection.)""
   + Success toast: ""Work order resubmitted for Supervisor review.""

Edge cases:
- Technician resubmits without making any changes to the rejected items => system does not block resubmission (validation only checks required field completion, not change detection). It is the Supervisor's responsibility to reject again if corrections are insufficient.
- Technician's checklist was reset (if that is the confirmed behavior) => Technician must re-complete all items from scratch.
- Network error during resubmission => ""Failed to resubmit. Please try again."" => WO remains in Completion Rejected.
"
,7.3,Asset (Read-only),Asset (Read-only),,,
216,7.3.1,Asset (Read-only),View Asset List,"- Accessible by MSP Technician on mobile. Read-only.
- Scoped to Technician's User Group: Building AND Asset System must both match.
- Used to look up asset information on-site.
- No create, edit, or deactivate actions.","Screen: Asset List (MSP Technician Mobile - Read-only)

- Search bar - Placeholder: ""Search by name or code""
- [Scan QR] - Icon button - top-right - Opens QR scanner (shortcut to 7.3.3)
- Filter icon - Opens filter panel:
  + Building - Dropdown - Technician's group buildings only
  + Asset System - Dropdown - Technician's group systems only
  + Status - Dropdown - All / Active / Inactive
- Asset list - Scrollable:
  + Each item: Asset Code / Asset Name / Asset System / Location (Floor/Area) / Status badge
  + Tap item => Asset Detail (7.3.2)
- Pull-to-refresh
- Empty state: ""No assets found.""
- Load more on scroll

No action buttons (read-only).","Screen: Asset List (MSP Technician Mobile - Read-only)

Preconditions:
- MSP Technician authenticated. Scoped to User Group (Building AND Asset System must both match). Read-only.

1. Technician navigates to Assets in bottom navigation.
2. System loads assets matching User Group scope.
3. List items: Asset Code / Asset Name / Asset System / Location (Floor/Area) / Status badge.
4. [Scan QR] icon visible (top-right) => shortcut to QR scan (7.3.3).
5. Technician taps search bar => searches by name or code.
6. Technician taps filter icon => filter panel:
   + Building (User Group buildings only) / Asset System (User Group systems only) / Status.
   + [Apply] / [Reset].
7. Technician taps asset item => Asset Detail (7.3.2).
8. Technician pulls down => refreshes list.
9. Infinite scroll => loads next page.
10. No create/edit/deactivate actions. Read-only.
11. Empty state: ""No assets found within your scope.""

Edge cases:
- Network unavailable => cached list with banner.
- Camera permission not granted for QR => OS permission request; if denied => manual search only.
"
217,7.3.2,,View Asset Detail,"- Accessible by MSP Technician on mobile. Read-only.
- Scoped to Technician's User Group scope.
- Full asset detail: all sections + Maintenance History + Related WOs + Pending WOs.
- QR code displayed for reference.
- Accessible via Asset List or QR scan.","Screen: Asset Detail (MSP Technician Mobile - Read-only)

- Back arrow
- Asset Name - Display - Large bold title
- Asset Code - Display - Subtitle
- Status badge - Active / Inactive
- QR Code - Display - Tap to zoom in

Section: Asset Classification (read-only)
- Asset System / Asset Sub-system / Asset Type

Section: Location (read-only)
- Building / Floor / Area/Unit

Section: Asset Details (read-only)
- Model / Serial Number / Brand / Purchase Date / Status

Section: Maintenance History (read-only)
- List: WO ID / Plan Name / Round / Completed Date / Technician / Status
- Tap WO ID => WO Detail (7.2.4)
- Empty state: ""No maintenance history.""

Section: Pending WOs (read-only)
- List: WO ID / Type / Assigned Date / Status
- Tap WO ID => WO Detail (7.2.4)
- Empty state: ""No pending work orders.""

No action buttons - fully read-only.","Screen: Asset Detail (MSP Technician Mobile - Read-only)

Preconditions:
- MSP Technician authenticated. Asset within User Group scope. Read-only.

1. Technician taps asset from list OR navigates from QR scan => Asset Detail loads.
2. System renders:
   + Header: Asset Name (bold) / Asset Code / Status badge.
   + QR Code image: tap to zoom full-screen.
   + Classification section: Asset System / Sub-system / Asset Type.
   + Location section: Building / Floor / Area/Unit.
   + Asset Details section: Model / Serial Number / Brand / Purchase Date.
3. Maintenance History section:
   + Items: WO ID / Plan Name / Round / Completed Date / Technician / Status.
   + Shows Closed WOs within Technician's scope only.
   + Tap WO ID => WO Detail (7.2.4).
   + Empty: ""No maintenance history.""
4. Pending WOs section:
   + Items: WO ID / Type / Status / Assigned Date.
   + Technician taps WO ID => WO Detail (7.2.4).
   + Empty: ""No pending work orders.""
5. No Edit / Deactivate actions. Read-only.

Primary use cases:
- Technician looks up asset specs on-site (model, serial number) before starting work.
- Technician checks maintenance history to understand what was done previously.
- Technician navigates from QR scan when no active WO exists for this asset.

Edge cases:
- Technician scans QR for asset with an active WO => navigated to WO Detail (7.3.3 handles this routing).
- WOs outside Technician's scope not shown in history sections.
- Detail fails to load => ""Failed to load asset details. Please go back and try again.""
"
